YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS10M,WD10M
2018,12,31,19,11.44,95.38,0.04,3.99,128.17
2018,12,31,20,11.2,96.5,0.03,4.24,127.29
2018,12,31,21,11.04,97.25,0.03,4.28,127.0
2018,12,31,22,10.93,97.69,0.03,4.35,126.6
2018,12,31,23,10.8,98.06,0.04,4.49,125.07
2019,1,1,0,10.51,98.31,0.04,4.72,122.98
2019,1,1,1,10.35,98.44,0.05,4.79,121.54
2019,1,1,2,10.23,98.69,0.05,4.65,121.48
2019,1,1,3,10.19,98.88,0.04,4.92,120.15
2019,1,1,4,10.1,99.25,0.03,4.97,120.11
2019,1,1,5,10.01,99.06,0.02,4.94,121.27
2019,1,1,6,10.43,97.25,0.02,4.87,122.75
2019,1,1,7,12.21,90.81,0.0,5.95,123.75
2019,1,1,8,13.92,80.06,0.0,7.48,120.15
2019,1,1,9,15.6,69.94,0.0,8.47,116.35
2019,1,1,10,16.73,65.0,0.0,8.56,113.85
2019,1,1,11,17.61,62.19,0.0,8.12,113.36
2019,1,1,12,18.2,60.69,0.0,7.48,113.25
2019,1,1,13,18.3,60.62,0.0,7.07,112.14
2019,1,1,14,18.01,62.19,0.0,6.53,111.56
2019,1,1,15,17.58,64.44,0.0,6.01,110.53
2019,1,1,16,16.73,69.0,0.0,5.69,110.68
2019,1,1,17,15.35,79.94,0.0,4.79,114.35
2019,1,1,18,13.65,93.69,0.0,3.99,118.92
2019,1,1,19,13.35,95.88,0.0,4.45,122.74
2019,1,1,20,13.11,96.5,0.0,4.93,124.6
2019,1,1,21,12.7,96.44,0.0,5.27,125.83
2019,1,1,22,12.39,97.31,0.0,4.98,128.38
2019,1,1,23,12.07,99.0,0.0,4.87,127.77
2019,1,2,0,11.67,100.0,0.0,4.6,126.01
2019,1,2,1,11.31,100.0,0.0,4.17,125.62
2019,1,2,2,10.97,100.0,0.0,3.94,124.92
2019,1,2,3,10.68,100.0,0.0,3.86,123.79
2019,1,2,4,10.51,100.0,0.0,3.86,124.2
2019,1,2,5,10.37,100.0,0.0,4.1,122.78
2019,1,2,6,11.01,99.81,0.0,4.49,121.25
2019,1,2,7,13.49,83.75,0.0,6.33,119.03
2019,1,2,8,15.25,72.75,0.0,7.59,118.52
2019,1,2,9,16.72,66.44,0.0,7.96,118.35
2019,1,2,10,17.43,64.0,0.0,7.91,117.45
2019,1,2,11,17.88,62.69,0.0,7.49,118.11
2019,1,2,12,18.0,62.19,0.0,7.15,118.75
2019,1,2,13,17.92,62.25,0.0,6.82,118.44
2019,1,2,14,17.62,63.19,0.0,6.43,117.72
2019,1,2,15,17.06,65.06,0.0,6.07,116.7
2019,1,2,16,16.13,68.44,0.0,5.52,116.02
2019,1,2,17,14.69,77.06,0.0,4.33,116.61
2019,1,2,18,12.96,90.88,0.0,2.89,118.71
2019,1,2,19,12.47,92.81,0.0,2.45,120.4
2019,1,2,20,12.01,94.44,0.0,2.27,121.5
2019,1,2,21,11.52,95.75,0.0,2.27,122.49
2019,1,2,22,11.1,96.19,0.0,2.47,122.99
2019,1,2,23,10.78,96.44,0.0,2.75,124.95
2019,1,3,0,10.52,97.0,0.0,2.87,125.68
2019,1,3,1,10.37,97.44,0.0,2.94,125.59
2019,1,3,2,10.28,98.19,0.0,3.07,124.42
2019,1,3,3,10.23,99.0,0.0,3.12,122.86
2019,1,3,4,10.23,99.62,0.0,3.08,120.47
2019,1,3,5,10.19,100.0,0.0,2.95,118.47
2019,1,3,6,10.67,98.69,0.0,3.09,116.89
2019,1,3,7,13.13,86.44,0.02,4.17,111.42
2019,1,3,8,15.33,75.81,0.02,5.39,105.55
2019,1,3,9,16.62,69.56,0.02,5.7,103.24
2019,1,3,10,17.38,66.62,0.02,5.98,102.37
2019,1,3,11,17.89,64.75,0.02,6.23,102.9
2019,1,3,12,18.15,63.62,0.03,6.41,104.32
2019,1,3,13,18.4,62.69,0.05,6.36,106.05
2019,1,3,14,18.3,62.88,0.06,6.09,109.02
2019,1,3,15,17.85,65.06,0.06,5.63,111.76
2019,1,3,16,16.9,70.19,0.06,5.15,113.06
2019,1,3,17,15.33,80.38,0.05,4.27,116.19
2019,1,3,18,13.59,93.88,0.04,2.72,118.85
2019,1,3,19,13.0,96.5,0.02,2.24,117.64
2019,1,3,20,12.43,98.5,0.02,1.76,113.83
2019,1,3,21,11.88,100.0,0.02,1.66,111.0
2019,1,3,22,11.48,100.0,0.02,1.65,113.66
2019,1,3,23,11.13,100.0,0.01,1.91,113.41
2019,1,4,0,10.83,100.0,0.01,1.77,114.3
2019,1,4,1,10.35,100.0,0.01,1.75,112.09
